,,,Total Trips
Year3Boerum Hill-Upper East Side,Boerum Hill-Upper East Side,Year3,80
Year1Boerum Hill-Upper West Side,Boerum Hill-Upper West Side,Year1,45
Year2Boerum Hill-Upper West Side,Boerum Hill-Upper West Side,Year2,13
Year3Boerum Hill-Upper West Side,Boerum Hill-Upper West Side,Year3,29
Year1Boerum Hill-Vinegar Hill,Boerum Hill-Vinegar Hill,Year1,792
Year2Boerum Hill-Vinegar Hill,Boerum Hill-Vinegar Hill,Year2,689
Year3Boerum Hill-Vinegar Hill,Boerum Hill-Vinegar Hill,Year3,670
Year1Boerum Hill-West Village,Boerum Hill-West Village,Year1,310
Year2Boerum Hill-West Village,Boerum Hill-West Village,Year2,343
Year3Boerum Hill-West Village,Boerum Hill-West Village,Year3,311
Year1Boerum Hill-Williamsburg,Boerum Hill-Williamsburg,Year1,850
Year2Boerum Hill-Williamsburg,Boerum Hill-Williamsburg,Year2,698
Year3Boerum Hill-Williamsburg,Boerum Hill-Williamsburg,Year3,1134
Year1Brooklyn Heights-Battery Park City,Brooklyn Heights-Battery Park City,Year1,621
Year2Brooklyn Heights-Battery Park City,Brooklyn Heights-Battery Park City,Year2,362
Year3Brooklyn Heights-Battery Park City,Brooklyn Heights-Battery Park City,Year3,663
Year1Brooklyn Heights-Bedford-Stuyvesant,Brooklyn Heights-Bedford-Stuyvesant,Year1,645
Year2Brooklyn Heights-Bedford-Stuyvesant,Brooklyn Heights-Bedford-Stuyvesant,Year2,684
Year3Brooklyn Heights-Bedford-Stuyvesant,Brooklyn Heights-Bedford-Stuyvesant,Year3,1859
Year1Brooklyn Heights-Boerum Hill,Brooklyn Heights-Boerum Hill,Year1,4189
Year2Brooklyn Heights-Boerum Hill,Brooklyn Heights-Boerum Hill,Year2,3594
Year3Brooklyn Heights-Boerum Hill,Brooklyn Heights-Boerum Hill,Year3,4717
Year1Brooklyn Heights-Brooklyn Heights,Brooklyn Heights-Brooklyn Heights,Year1,23725
Year2Brooklyn Heights-Brooklyn Heights,Brooklyn Heights-Brooklyn Heights,Year2,18258
Year3Brooklyn Heights-Brooklyn Heights,Brooklyn Heights-Brooklyn Heights,Year3,32428
Year1Brooklyn Heights-Central Park,Brooklyn Heights-Central Park,Year1,46
Year2Brooklyn Heights-Central Park,Brooklyn Heights-Central Park,Year2,8
Year3Brooklyn Heights-Central Park,Brooklyn Heights-Central Park,Year3,40
Year1Brooklyn Heights-Chelsea,Brooklyn Heights-Chelsea,Year1,1697
Year2Brooklyn Heights-Chelsea,Brooklyn Heights-Chelsea,Year2,731
Year3Brooklyn Heights-Chelsea,Brooklyn Heights-Chelsea,Year3,1226
Year1Brooklyn Heights-Chinatown,Brooklyn Heights-Chinatown,Year1,1165
Year2Brooklyn Heights-Chinatown,Brooklyn Heights-Chinatown,Year2,968
Year3Brooklyn Heights-Chinatown,Brooklyn Heights-Chinatown,Year3,1503
Year1Brooklyn Heights-Civic Center,Brooklyn Heights-Civic Center,Year1,4284
Year2Brooklyn Heights-Civic Center,Brooklyn Heights-Civic Center,Year2,3693
Year3Brooklyn Heights-Civic Center,Brooklyn Heights-Civic Center,Year3,6146
Year1Brooklyn Heights-Clinton Hill,Brooklyn Heights-Clinton Hill,Year1,1895
Year2Brooklyn Heights-Clinton Hill,Brooklyn Heights-Clinton Hill,Year2,1428
Year3Brooklyn Heights-Clinton Hill,Brooklyn Heights-Clinton Hill,Year3,2361
Year1Brooklyn Heights-Columbia St,Brooklyn Heights-Columbia St,Year1,2472
Year2Brooklyn Heights-Columbia St,Brooklyn Heights-Columbia St,Year2,1842
Year3Brooklyn Heights-Columbia St,Brooklyn Heights-Columbia St,Year3,3627
Year1Brooklyn Heights-DUMBO,Brooklyn Heights-DUMBO,Year1,8940
Year2Brooklyn Heights-DUMBO,Brooklyn Heights-DUMBO,Year2,8037
Year3Brooklyn Heights-DUMBO,Brooklyn Heights-DUMBO,Year3,12440
Year1Brooklyn Heights-Downtown Brooklyn,Brooklyn Heights-Downtown Brooklyn,Year1,7153
Year2Brooklyn Heights-Downtown Brooklyn,Brooklyn Heights-Downtown Brooklyn,Year2,6612
Year3Brooklyn Heights-Downtown Brooklyn,Brooklyn Heights-Downtown Brooklyn,Year3,8425
Year1Brooklyn Heights-East Village,Brooklyn Heights-East Village,Year1,1947
Year2Brooklyn Heights-East Village,Brooklyn Heights-East Village,Year2,1444
Year3Brooklyn Heights-East Village,Brooklyn Heights-East Village,Year3,1744
Year1Brooklyn Heights-Financial District,Brooklyn Heights-Financial District,Year1,2365
Year2Brooklyn Heights-Financial District,Brooklyn Heights-Financial District,Year2,2247
Year3Brooklyn Heights-Financial District,Brooklyn Heights-Financial District,Year3,3309
Year1Brooklyn Heights-Flatiron District,Brooklyn Heights-Flatiron District,Year1,300
Year2Brooklyn Heights-Flatiron District,Brooklyn Heights-Flatiron District,Year2,122
Year3Brooklyn Heights-Flatiron District,Brooklyn Heights-Flatiron District,Year3,230
Year1Brooklyn Heights-Fort Greene,Brooklyn Heights-Fort Greene,Year1,4824
Year2Brooklyn Heights-Fort Greene,Brooklyn Heights-Fort Greene,Year2,4572
Year3Brooklyn Heights-Fort Greene,Brooklyn Heights-Fort Greene,Year3,5716
Year3Brooklyn Heights-Governors Island,Brooklyn Heights-Governors Island,Year3,10
Year1Brooklyn Heights-Gramercy,Brooklyn Heights-Gramercy,Year1,704
Year2Brooklyn Heights-Gramercy,Brooklyn Heights-Gramercy,Year2,300
Year3Brooklyn Heights-Gramercy,Brooklyn Heights-Gramercy,Year3,633
Year3Brooklyn Heights-Greenpoint,Brooklyn Heights-Greenpoint,Year3,339
Year1Brooklyn Heights-Greenwich Village,Brooklyn Heights-Greenwich Village,Year1,972
Year2Brooklyn Heights-Greenwich Village,Brooklyn Heights-Greenwich Village,Year2,661
Year3Brooklyn Heights-Greenwich Village,Brooklyn Heights-Greenwich Village,Year3,634
Year1Brooklyn Heights-Hells Kitchen,Brooklyn Heights-Hells Kitchen,Year1,616
Year2Brooklyn Heights-Hells Kitchen,Brooklyn Heights-Hells Kitchen,Year2,280
Year3Brooklyn Heights-Hells Kitchen,Brooklyn Heights-Hells Kitchen,Year3,381
Year1Brooklyn Heights-Kips Bay,Brooklyn Heights-Kips Bay,Year1,453
Year2Brooklyn Heights-Kips Bay,Brooklyn Heights-Kips Bay,Year2,393
Year3Brooklyn Heights-Kips Bay,Brooklyn Heights-Kips Bay,Year3,611
Year3Brooklyn Heights-Long Island City,Brooklyn Heights-Long Island City,Year3,83
Year1Brooklyn Heights-Lower East Side,Brooklyn Heights-Lower East Side,Year1,1071
Year2Brooklyn Heights-Lower East Side,Brooklyn Heights-Lower East Side,Year2,951
Year3Brooklyn Heights-Lower East Side,Brooklyn Heights-Lower East Side,Year3,1165
Year1Brooklyn Heights-Midtown,Brooklyn Heights-Midtown,Year1,1494
Year2Brooklyn Heights-Midtown,Brooklyn Heights-Midtown,Year2,822
Year3Brooklyn Heights-Midtown,Brooklyn Heights-Midtown,Year3,1249
Year1Brooklyn Heights-Murray Hill,Brooklyn Heights-Murray Hill,Year1,349
Year2Brooklyn Heights-Murray Hill,Brooklyn Heights-Murray Hill,Year2,282
Year3Brooklyn Heights-Murray Hill,Brooklyn Heights-Murray Hill,Year3,439
Year1Brooklyn Heights-Navy Yard,Brooklyn Heights-Navy Yard,Year1,179
Year2Brooklyn Heights-Navy Yard,Brooklyn Heights-Navy Yard,Year2,201
Year3Brooklyn Heights-Navy Yard,Brooklyn Heights-Navy Yard,Year3,492
Year1Brooklyn Heights-NoHo,Brooklyn Heights-NoHo,Year1,161
Year2Brooklyn Heights-NoHo,Brooklyn Heights-NoHo,Year2,89
Year3Brooklyn Heights-NoHo,Brooklyn Heights-NoHo,Year3,129
Year1Brooklyn Heights-Nolita,Brooklyn Heights-Nolita,Year1,687
Year2Brooklyn Heights-Nolita,Brooklyn Heights-Nolita,Year2,645
Year3Brooklyn Heights-Nolita,Brooklyn Heights-Nolita,Year3,542
Year1Brooklyn Heights-Park Slope,Brooklyn Heights-Park Slope,Year1,1746
Year2Brooklyn Heights-Park Slope,Brooklyn Heights-Park Slope,Year2,1503
Year3Brooklyn Heights-Park Slope,Brooklyn Heights-Park Slope,Year3,1785
Year3Brooklyn Heights-Prospect Park,Brooklyn Heights-Prospect Park,Year3,4
Year3Brooklyn Heights-Red Hook,Brooklyn Heights-Red Hook,Year3,14
Year1Brooklyn Heights-SoHo,Brooklyn Heights-SoHo,Year1,1304
Year2Brooklyn Heights-SoHo,Brooklyn Heights-SoHo,Year2,852
Year3Brooklyn Heights-SoHo,Brooklyn Heights-SoHo,Year3,1587
Year1Brooklyn Heights-Stuyvesant Town,Brooklyn Heights-Stuyvesant Town,Year1,266
Year2Brooklyn Heights-Stuyvesant Town,Brooklyn Heights-Stuyvesant Town,Year2,140
Year3Brooklyn Heights-Stuyvesant Town,Brooklyn Heights-Stuyvesant Town,Year3,207
Year2Brooklyn Heights-Sunset Park,Brooklyn Heights-Sunset Park,Year2,5
Year3Brooklyn Heights-Sunset Park,Brooklyn Heights-Sunset Park,Year3,11
Year1Brooklyn Heights-Theater District,Brooklyn Heights-Theater District,Year1,397
Year2Brooklyn Heights-Theater District,Brooklyn Heights-Theater District,Year2,262
Year3Brooklyn Heights-Theater District,Brooklyn Heights-Theater District,Year3,406
Year1Brooklyn Heights-Tribeca,Brooklyn Heights-Tribeca,Year1,2557
Year2Brooklyn Heights-Tribeca,Brooklyn Heights-Tribeca,Year2,2183
Year3Brooklyn Heights-Tribeca,Brooklyn Heights-Tribeca,Year3,2787
Year1Brooklyn Heights-Two Bridges,Brooklyn Heights-Two Bridges,Year1,74
Year2Brooklyn Heights-Two Bridges,Brooklyn Heights-Two Bridges,Year2,53
Year3Brooklyn Heights-Two Bridges,Brooklyn Heights-Two Bridges,Year3,54
Year1Brooklyn Heights-Upper East Side,Brooklyn Heights-Upper East Side,Year1,29
Year2Brooklyn Heights-Upper East Side,Brooklyn Heights-Upper East Side,Year2,45
Year3Brooklyn Heights-Upper East Side,Brooklyn Heights-Upper East Side,Year3,269
Year1Brooklyn Heights-Upper West Side,Brooklyn Heights-Upper West Side,Year1,92
Year2Brooklyn Heights-Upper West Side,Brooklyn Heights-Upper West Side,Year2,65
Year3Brooklyn Heights-Upper West Side,Brooklyn Heights-Upper West Side,Year3,98
Year1Brooklyn Heights-Vinegar Hill,Brooklyn Heights-Vinegar Hill,Year1,2089
Year2Brooklyn Heights-Vinegar Hill,Brooklyn Heights-Vinegar Hill,Year2,1819
Year3Brooklyn Heights-Vinegar Hill,Brooklyn Heights-Vinegar Hill,Year3,2421
Year1Brooklyn Heights-West Village,Brooklyn Heights-West Village,Year1,838
Year2Brooklyn Heights-West Village,Brooklyn Heights-West Village,Year2,613
Year3Brooklyn Heights-West Village,Brooklyn Heights-West Village,Year3,788
Year1Brooklyn Heights-Williamsburg,Brooklyn Heights-Williamsburg,Year1,1403
Year2Brooklyn Heights-Williamsburg,Brooklyn Heights-Williamsburg,Year2,1154
Year3Brooklyn Heights-Williamsburg,Brooklyn Heights-Williamsburg,Year3,2327
Year1Central Park-Battery Park City,Central Park-Battery Park City,Year1,211
Year2Central Park-Battery Park City,Central Park-Battery Park City,Year2,264
Year3Central Park-Battery Park City,Central Park-Battery Park City,Year3,1008
Year1Central Park-Bedford-Stuyvesant,Central Park-Bedford-Stuyvesant,Year1,7
Year3Central Park-Bedford-Stuyvesant,Central Park-Bedford-Stuyvesant,Year3,14
Year1Central Park-Boerum Hill,Central Park-Boerum Hill,Year1,5
Year2Central Park-Boerum Hill,Central Park-Boerum Hill,Year2,3
Year3Central Park-Boerum Hill,Central Park-Boerum Hill,Year3,26
Year1Central Park-Brooklyn Heights,Central Park-Brooklyn Heights,Year1,21
Year2Central Park-Brooklyn Heights,Central Park-Brooklyn Heights,Year2,11
Year3Central Park-Brooklyn Heights,Central Park-Brooklyn Heights,Year3,25
Year1Central Park-Central Park,Central Park-Central Park,Year1,12407
Year2Central Park-Central Park,Central Park-Central Park,Year2,14148
Year3Central Park-Central Park,Central Park-Central Park,Year3,92167
Year1Central Park-Chelsea,Central Park-Chelsea,Year1,2221
Year2Central Park-Chelsea,Central Park-Chelsea,Year2,2009
Year3Central Park-Chelsea,Central Park-Chelsea,Year3,7254
Year1Central Park-Chinatown,Central Park-Chinatown,Year1,57
Year2Central Park-Chinatown,Central Park-Chinatown,Year2,59
Year3Central Park-Chinatown,Central Park-Chinatown,Year3,148
Year1Central Park-Civic Center,Central Park-Civic Center,Year1,26
Year2Central Park-Civic Center,Central Park-Civic Center,Year2,26
Year3Central Park-Civic Center,Central Park-Civic Center,Year3,87
Year1Central Park-Clinton Hill,Central Park-Clinton Hill,Year1,4
Year2Central Park-Clinton Hill,Central Park-Clinton Hill,Year2,4
Year3Central Park-Clinton Hill,Central Park-Clinton Hill,Year3,6
Year1Central Park-DUMBO,Central Park-DUMBO,Year1,1
Year2Central Park-DUMBO,Central Park-DUMBO,Year2,3
Year3Central Park-DUMBO,Central Park-DUMBO,Year3,17
Year1Central Park-Downtown Brooklyn,Central Park-Downtown Brooklyn,Year1,48
Year2Central Park-Downtown Brooklyn,Central Park-Downtown Brooklyn,Year2,11
Year3Central Park-Downtown Brooklyn,Central Park-Downtown Brooklyn,Year3,24
Year1Central Park-East Village,Central Park-East Village,Year1,949
Year2Central Park-East Village,Central Park-East Village,Year2,660
Year3Central Park-East Village,Central Park-East Village,Year3,1484
Year1Central Park-Financial District,Central Park-Financial District,Year1,146
Year2Central Park-Financial District,Central Park-Financial District,Year2,73
Year3Central Park-Financial District,Central Park-Financial District,Year3,357
Year1Central Park-Flatiron District,Central Park-Flatiron District,Year1,413
Year2Central Park-Flatiron District,Central Park-Flatiron District,Year2,378
Year3Central Park-Flatiron District,Central Park-Flatiron District,Year3,1375
Year1Central Park-Fort Greene,Central Park-Fort Greene,Year1,77
Year2Central Park-Fort Greene,Central Park-Fort Greene,Year2,7
Year3Central Park-Fort Greene,Central Park-Fort Greene,Year3,28
Year3Central Park-Governors Island,Central Park-Governors Island,Year3,1
Year1Central Park-Gramercy,Central Park-Gramercy,Year1,566
Year2Central Park-Gramercy,Central Park-Gramercy,Year2,304
Year3Central Park-Gramercy,Central Park-Gramercy,Year3,895
Year3Central Park-Greenpoint,Central Park-Greenpoint,Year3,64
Year1Central Park-Greenwich Village,Central Park-Greenwich Village,Year1,411
Year2Central Park-Greenwich Village,Central Park-Greenwich Village,Year2,311
Year3Central Park-Greenwich Village,Central Park-Greenwich Village,Year3,1073
Year1Central Park-Hells Kitchen,Central Park-Hells Kitchen,Year1,2836
Year2Central Park-Hells Kitchen,Central Park-Hells Kitchen,Year2,2822
Year3Central Park-Hells Kitchen,Central Park-Hells Kitchen,Year3,11401
Year1Central Park-Kips Bay,Central Park-Kips Bay,Year1,715
Year2Central Park-Kips Bay,Central Park-Kips Bay,Year2,554
Year3Central Park-Kips Bay,Central Park-Kips Bay,Year3,1476
Year3Central Park-Long Island City,Central Park-Long Island City,Year3,503
Year1Central Park-Lower East Side,Central Park-Lower East Side,Year1,276
Year2Central Park-Lower East Side,Central Park-Lower East Side,Year2,248
Year3Central Park-Lower East Side,Central Park-Lower East Side,Year3,513
Year1Central Park-Midtown,Central Park-Midtown,Year1,9032
Year2Central Park-Midtown,Central Park-Midtown,Year2,8663
Year3Central Park-Midtown,Central Park-Midtown,Year3,40319
Year1Central Park-Murray Hill,Central Park-Murray Hill,Year1,541
Year2Central Park-Murray Hill,Central Park-Murray Hill,Year2,623
Year3Central Park-Murray Hill,Central Park-Murray Hill,Year3,2200
Year2Central Park-Navy Yard,Central Park-Navy Yard,Year2,1
Year3Central Park-Navy Yard,Central Park-Navy Yard,Year3,2
Year1Central Park-NoHo,Central Park-NoHo,Year1,17
Year2Central Park-NoHo,Central Park-NoHo,Year2,12
Year3Central Park-NoHo,Central Park-NoHo,Year3,64
Year1Central Park-Nolita,Central Park-Nolita,Year1,66
Year2Central Park-Nolita,Central Park-Nolita,Year2,77
Year3Central Park-Nolita,Central Park-Nolita,Year3,226
Year1Central Park-Park Slope,Central Park-Park Slope,Year1,7
Year2Central Park-Park Slope,Central Park-Park Slope,Year2,1
Year3Central Park-Park Slope,Central Park-Park Slope,Year3,6
Year3Central Park-Red Hook,Central Park-Red Hook,Year3,1
Year1Central Park-SoHo,Central Park-SoHo,Year1,199
Year2Central Park-SoHo,Central Park-SoHo,Year2,178
Year3Central Park-SoHo,Central Park-SoHo,Year3,585
Year1Central Park-Stuyvesant Town,Central Park-Stuyvesant Town,Year1,181
Year2Central Park-Stuyvesant Town,Central Park-Stuyvesant Town,Year2,207
Year3Central Park-Stuyvesant Town,Central Park-Stuyvesant Town,Year3,618
Year3Central Park-Sunset Park,Central Park-Sunset Park,Year3,2
Year1Central Park-Theater District,Central Park-Theater District,Year1,1374
Year2Central Park-Theater District,Central Park-Theater District,Year2,1333
Year3Central Park-Theater District,Central Park-Theater District,Year3,7760
Year1Central Park-Tribeca,Central Park-Tribeca,Year1,243
Year2Central Park-Tribeca,Central Park-Tribeca,Year2,189
Year3Central Park-Tribeca,Central Park-Tribeca,Year3,576
Year1Central Park-Two Bridges,Central Park-Two Bridges,Year1,14
Year3Central Park-Two Bridges,Central Park-Two Bridges,Year3,8
Year1Central Park-Upper East Side,Central Park-Upper East Side,Year1,146
Year2Central Park-Upper East Side,Central Park-Upper East Side,Year2,189
Year3Central Park-Upper East Side,Central Park-Upper East Side,Year3,28273
Year1Central Park-Upper West Side,Central Park-Upper West Side,Year1,2932
Year2Central Park-Upper West Side,Central Park-Upper West Side,Year2,3339
Year3Central Park-Upper West Side,Central Park-Upper West Side,Year3,32717
Year1Central Park-Vinegar Hill,Central Park-Vinegar Hill,Year1,6
Year2Central Park-Vinegar Hill,Central Park-Vinegar Hill,Year2,13
Year3Central Park-Vinegar Hill,Central Park-Vinegar Hill,Year3,6
Year1Central Park-West Village,Central Park-West Village,Year1,557
Year2Central Park-West Village,Central Park-West Village,Year2,526
Year3Central Park-West Village,Central Park-West Village,Year3,1730
Year1Central Park-Williamsburg,Central Park-Williamsburg,Year1,58
Year2Central Park-Williamsburg,Central Park-Williamsburg,Year2,66
Year3Central Park-Williamsburg,Central Park-Williamsburg,Year3,124
Year1Chelsea-Battery Park City,Chelsea-Battery Park City,Year1,22159
Year2Chelsea-Battery Park City,Chelsea-Battery Park City,Year2,22243
Year3Chelsea-Battery Park City,Chelsea-Battery Park City,Year3,34498
Year1Chelsea-Bedford-Stuyvesant,Chelsea-Bedford-Stuyvesant,Year1,1110
Year2Chelsea-Bedford-Stuyvesant,Chelsea-Bedford-Stuyvesant,Year2,300
Year3Chelsea-Bedford-Stuyvesant,Chelsea-Bedford-Stuyvesant,Year3,572
Year1Chelsea-Boerum Hill,Chelsea-Boerum Hill,Year1,555
Year2Chelsea-Boerum Hill,Chelsea-Boerum Hill,Year2,566
Year3Chelsea-Boerum Hill,Chelsea-Boerum Hill,Year3,731
Year1Chelsea-Brooklyn Heights,Chelsea-Brooklyn Heights,Year1,1626
Year2Chelsea-Brooklyn Heights,Chelsea-Brooklyn Heights,Year2,777
Year3Chelsea-Brooklyn Heights,Chelsea-Brooklyn Heights,Year3,1300
Year1Chelsea-Central Park,Chelsea-Central Park,Year1,2618
Year2Chelsea-Central Park,Chelsea-Central Park,Year2,2346
Year3Chelsea-Central Park,Chelsea-Central Park,Year3,7664
Year1Chelsea-Chelsea,Chelsea-Chelsea,Year1,303822
Year2Chelsea-Chelsea,Chelsea-Chelsea,Year2,325162
Year3Chelsea-Chelsea,Chelsea-Chelsea,Year3,419634
Year1Chelsea-Chinatown,Chelsea-Chinatown,Year1,5617
Year2Chelsea-Chinatown,Chelsea-Chinatown,Year2,4436
Year3Chelsea-Chinatown,Chelsea-Chinatown,Year3,6569
Year1Chelsea-Civic Center,Chelsea-Civic Center,Year1,3436
Year2Chelsea-Civic Center,Chelsea-Civic Center,Year2,2934
Year3Chelsea-Civic Center,Chelsea-Civic Center,Year3,3982
Year1Chelsea-Clinton Hill,Chelsea-Clinton Hill,Year1,661
Year2Chelsea-Clinton Hill,Chelsea-Clinton Hill,Year2,479
Year3Chelsea-Clinton Hill,Chelsea-Clinton Hill,Year3,868
Year1Chelsea-Columbia St,Chelsea-Columbia St,Year1,81
Year2Chelsea-Columbia St,Chelsea-Columbia St,Year2,97
Year3Chelsea-Columbia St,Chelsea-Columbia St,Year3,126
Year1Chelsea-DUMBO,Chelsea-DUMBO,Year1,356
Year2Chelsea-DUMBO,Chelsea-DUMBO,Year2,254
Year3Chelsea-DUMBO,Chelsea-DUMBO,Year3,362
Year1Chelsea-Downtown Brooklyn,Chelsea-Downtown Brooklyn,Year1,2849
Year2Chelsea-Downtown Brooklyn,Chelsea-Downtown Brooklyn,Year2,921
Year3Chelsea-Downtown Brooklyn,Chelsea-Downtown Brooklyn,Year3,1280
Year1Chelsea-East Village,Chelsea-East Village,Year1,57786
Year2Chelsea-East Village,Chelsea-East Village,Year2,54499
Year3Chelsea-East Village,Chelsea-East Village,Year3,71707
Year1Chelsea-Financial District,Chelsea-Financial District,Year1,14748
Year2Chelsea-Financial District,Chelsea-Financial District,Year2,13253
Year3Chelsea-Financial District,Chelsea-Financial District,Year3,19326
Year1Chelsea-Flatiron District,Chelsea-Flatiron District,Year1,39295
Year2Chelsea-Flatiron District,Chelsea-Flatiron District,Year2,43000
Year3Chelsea-Flatiron District,Chelsea-Flatiron District,Year3,53728
Year1Chelsea-Fort Greene,Chelsea-Fort Greene,Year1,5316
Year2Chelsea-Fort Greene,Chelsea-Fort Greene,Year2,883
Year3Chelsea-Fort Greene,Chelsea-Fort Greene,Year3,1166
Year3Chelsea-Governors Island,Chelsea-Governors Island,Year3,2
