trip_string,counts
Upper East Side-Brooklyn Heights,80984
Hell's Kitchen-Stuyvesant Town,80683
Theater District-Chinatown,80583
LaGuardia Airport-Forest Hills,80373
West Village-Park Slope,79979
East Village-Fort Greene,79828
Midtown-Carroll Gardens,79107
Nolita-Tribeca,79047
East Village-Civic Center,78849
Chelsea-Bushwick,78759
Central Park-Flatiron District,78681
Greenwich Village-Harlem,78329
Hell's Kitchen-Nolita,78193
SoHo-Greenpoint,78184
Chelsea-Fort Greene,78063
Nolita-Murray Hill,77450
Hell's Kitchen-Inwood,77013
Tribeca-Civic Center,77007
Ditmars Steinway-Astoria,76995
Midtown-Roosevelt Island,76221
Sunnyside-Astoria,76171
LaGuardia Airport-Jackson Heights,76006
Midtown-Inwood,75932
John F. Kennedy International Airport-Springfield Gardens,75729
East Village-Little Italy,75567
Bedford-Stuyvesant-Williamsburg,75071
Williamsburg-West Village,74966
Central Park-East Village,74921
Civic Center-Upper East Side,74748
East Harlem-Theater District,74630
Central Park-SoHo,74625
Theater District-NoHo,74480
LaGuardia Airport-Brooklyn Heights,74214
LaGuardia Airport-Bushwick,74160
West Village-Washington Heights,74016
East Harlem-East Village,73994
Lower East Side-Crown Heights,73741
Battery Park City-Kips Bay,73516
Civic Center-Tribeca,73370
Harlem-Central Park,73357
Upper East Side-Civic Center,73268
Civic Center-Lower East Side,73226
Midtown-Boerum Hill,72902
West Village-Greenpoint,72785
Midtown-DUMBO,72506
Tribeca-Brooklyn Heights,72403
Chelsea-Sunnyside,72394
West Village-Brooklyn Heights,72393
John F. Kennedy International Airport-Central Park,71832
Gramercy-Central Park,71527
SoHo-Bedford-Stuyvesant,71494
Carroll Gardens-Brooklyn Heights,71463
Upper East Side-Woodside,71367
Lower East Side-Astoria,71128
Long Island City-Sunnyside,71065
Kips Bay-Long Island City,71026
East Village-Washington Heights,71009
Greenwich Village-Central Park,70950
Nolita-Upper West Side,70898
trip_string,counts
Chinatown-Chinatown,70502
John F. Kennedy International Airport-Downtown Brooklyn,70181
Financial District-Downtown Brooklyn,70171
Murray Hill-Harlem,70125
Fort Greene-Fort Greene,70008
John F. Kennedy International Airport-Washington Heights,69803
Chelsea-Ditmars Steinway,69585
West Village-Little Italy,69584
SoHo-Central Park,69150
Kips Bay-Astoria,69149
Hell's Kitchen-Sunnyside,69090
Chinatown-Greenwich Village,69070
Midtown-Maspeth,69026
Upper West Side-Stuyvesant Town,69012
West Village-Long Island City,68797
Battery Park City-Gramercy,68794
Upper East Side-Mott Haven,67807
Gramercy-Harlem,67553
Theater District-Stuyvesant Town,67061
Nolita-Kips Bay,66957
Murray Hill-Astoria,66917
LaGuardia Airport-Sunnyside,66903
Civic Center-SoHo,66807
Greenwich Village-John F. Kennedy International Airport,66482
SoHo-Park Slope,66388
Midtown-Flushing,66333
SoHo-Brooklyn Heights,66044
John F. Kennedy International Airport-Morningside Heights,65986
East Harlem-Washington Heights,65818
Greenwich Village-Bedford-Stuyvesant,65376
Chinatown-Theater District,65245
Lower East Side-Park Slope,65187
Woodside-Woodside,65049
SoHo-Harlem,65009
Greenwich Village-East Harlem,64934
Kips Bay-Central Park,64863
Nolita-Theater District,64713
Battery Park City-John F. Kennedy International Airport,64657
Flatiron District-Central Park,64639
Williamsburg-Park Slope,64404
NoHo-NoHo,64363
Fort Greene-Bedford-Stuyvesant,64354
John F. Kennedy International Airport-Richmond Hill,64306
Bushwick-Williamsburg,64259
Stuyvesant Town-Upper West Side,63948
Stuyvesant Town-Theater District,63883
Chelsea-Carroll Gardens,63867
