FY,trip_string,total_trips
Year3,Canarsie-Bedford-Stuyvesant,91
Year1,Belmont-Midtown,23
Year3,LaGuardia Airport-Rockaway Beach,121
Year3,Jamaica Estates-Richmond Hill,28
Year3,Boerum Hill-Astoria,276
Year2,Windsor Terrace-Tribeca,37
Year2,Theater District-Tottenville,13
Year2,Greenwich Village-Roosevelt Island,788
Year3,Ditmars Steinway-Morris Park,24
Year3,East Harlem-Little Italy,218
Year0,Prospect Park-Fort Greene,442
Year1,Midtown-Laurelton,324
Year3,Gramercy-Morris Heights,205
Year3,Central Park-Brownsville,34
Year1,Chelsea-Schuylerville,332
Year1,Flatiron District-Briarwood,235
Year1,Ozone Park-Long Island City,23
Year1,Tribeca-Tottenville,5
Year1,Prospect Heights-Ridgewood,234
Year2,Jamaica-Williamsburg,120
Year1,Ridgewood-Carroll Gardens,14
Year2,Kingsbridge-Tremont,20
Year0,Fort Greene-Elmhurst,298
Year1,East New York-Kips Bay,10
Year0,Red Hook-Boerum Hill,269
Year0,Gowanus-Battery Park City,260
Year0,South Ozone Park-Richmond Hill,197
Year2,Flatbush-Dyker Heights,27
Year2,Tribeca-Williamsbridge,49
Year2,Long Island City-North Riverdale,33
Year3,Gramercy-Kew Gardens Hills,226
Year3,Harlem-Windsor Terrace,49
Year3,Flatbush-Brooklyn Heights,119
Year2,Ditmars Steinway-Kew Gardens,103
Year2,Fort Greene-Concourse Village,34
Year0,Civic Center-Ridgewood,132
Year2,Murray Hill-New Dorp,9
Year2,East Village-Springfield Gardens,115
Year2,NoHo-Co-op City,18
Year1,Vinegar Hill-Clinton Hill,291
Year0,Norwood-Long Island City,3
Year3,Prospect Heights-Central Park,82
Year0,East Flatbush-Chelsea,92
Year1,Jamaica Estates-Jamaica,109
Year3,Midtown-Breezy Point,106
Year1,Sunset Park-Downtown Brooklyn,392
Year3,SoHo-Belle Harbor,22
Year1,Prospect Heights-Brighton Beach,80
Year2,Chelsea-Manhattan Beach,143
Year3,Port Morris-Sunset Park,4
Year3,Murray Hill-Jamaica Hills,109
Year1,Mott Haven-Financial District,76
Year1,Morris Heights-East Village,11
Year1,Vinegar Hill-Sunnyside,19
Year0,South Ozone Park-Sheepshead Bay,41
Year2,Kew Gardens-Middle Village,47
Year3,Tribeca-Marble Hill,170
Year3,South Ozone Park-Ditmars Steinway,19
Year0,Gramercy-Rikers Island,3
Year3,Morningside Heights-Ozone Park,16
Year3,Jamaica-Allerton,2
Year2,Carroll Gardens-Two Bridges,111
Year3,Windsor Terrace-Green-Wood Cemetery,8
Year2,Flatbush-Floyd Bennett Field,24
Year3,Sheepshead Bay-Forest Hills,5
Year0,Red Hook-Floyd Bennett Field,3
Year2,Mott Haven-Clason Point,60
Year1,Woodside-Windsor Terrace,10
Year0,Astoria-Melrose,83
Year1,Inwood-SoHo,76
Year3,Kew Gardens-Midtown,102
Year1,Little Italy-Fort Hamilton,105
Year2,Kips Bay-Wakefield,131
Year2,Parkchester-West Farms,80
Year3,Vinegar Hill-West Village,51
Year0,Canarsie-East Elmhurst,3
Year0,East New York-Kips Bay,11
Year3,Clinton Hill-Canarsie,95
Year0,Riverdale-Ditmars Steinway,3
Year1,Midwood-East Flatbush,84
Year1,Norwood-Fordham,108
Year2,Rego Park-Boerum Hill,11
Year1,Jamaica-Riverdale,7
Year0,Morris Park-Chelsea,7
Year2,North Riverdale-Mott Haven,5
Year1,Washington Heights-Prospect Park,15
Year2,Nolita-Ozone Park,33
Year1,Financial District-Todt Hill,121
Year1,Washington Heights-Woodside,174
Year0,Floral Park-Richmond Hill,1
Year0,South Ozone Park-Civic Center,66
Year1,Morrisania-Woodside,2
Year2,Tribeca-Holliswood,49
Year3,Laurelton-Cambria Heights,7
Year2,Co-op City-Theater District,5
Year1,Washington Heights-Hunts Point,36
Year3,Murray Hill-Far Rockaway,17
Year2,Greenpoint-Wakefield,3
Year3,East Elmhurst-Forest Park,31
Year3,Norwood-Upper West Side,13
Year3,Concourse Village-Woodlawn,3
Year3,Kew Gardens-Maspeth,36
Year1,Windsor Terrace-Downtown Brooklyn,73
Year2,Civic Center-University Heights,36
Year0,Chelsea-Country Club,155
Year2,Dyker Heights-Flatbush,5
Year2,Civic Center-South Ozone Park,64
Year3,Bushwick-East Elmhurst,65
Year2,Harlem-Forest Park,25
Year2,Flatbush-Forest Park,5
Year0,Park Slope-Jamaica Hills,9
Year3,Boerum Hill-Jamaica Estates,4
Year1,Sunset Park-Forest Hills,17
Year0,Dyker Heights-Dongan Hills,1
Year2,Glendale-Upper West Side,3
Year0,Battery Park City-Grant City,18
Year1,Windsor Terrace-Ridgewood,7
Year2,Battery Park City-West Brighton,8
Year1,Bay Terrace-Williamsburg,2
Year2,Kensington-Inwood,2
Year3,East Flatbush-Morningside Heights,1
Year0,Flushing Meadows Corona Park-Brownsville,5
Year3,Nolita-Pelham Bay,12
Year2,Murray Hill-Baychester,28
Year2,Battery Park City-Floyd Bennett Field,12
Year2,Melrose-Forest Hills,1
Year3,Queens Village-Upper East Side,8
Year3,Inwood-Pelham Bay,6
Year2,Bedford-Stuyvesant-Mill Basin,24
Year0,Jamaica-Boerum Hill,8
Year3,Flushing Meadows Corona Park-Bedford-Stuyvesant,27
Year1,Lower East Side-Manhattan Beach,42
Year1,Schuylerville-Van Nest,4
Year3,Navy Yard-Red Hook,34
Year2,Morris Park-West Farms,10
Year1,Bergen Beach-Williamsburg,2
Year1,Midtown-New Dorp Beach,24
Year2,Murray Hill-Broad Channel,16
Year0,Brighton Beach-Chinatown,8
Year3,Unionport-Long Island City,6
Year3,Theater District-Broad Channel,10
Year0,Co-op City-Longwood,3
Year3,Ridgewood-Greenwich Village,9
Year3,Kensington-Castleton Corners,2
Year2,Port Morris-Pelham Bay,10
Year0,Ditmars Steinway-Bronxdale,20
Year2,Vinegar Hill-Sunnyside,12
Year2,Cypress Hills-West Village,10
Year1,Red Hook-Navy Yard,14
Year0,Astoria-Springfield Gardens,50
Year0,Downtown Brooklyn-Belmont,27
Year0,Sheepshead Bay-Chinatown,14
Year1,Long Island City-Fieldston,32
Year0,Belmont-Woodlawn,3
Year1,Boerum Hill-Green-Wood Cemetery,35
Year0,Howard Beach-Marine Park,1
Year3,Middle Village-LaGuardia Airport,12
Year0,Morris Park-Wakefield,5
Year1,Park Slope-Belle Harbor,9
Year3,Prospect Heights-St. George,6
Year1,Vinegar Hill-Briarwood,5
Year3,Flushing Meadows Corona Park-Sheepshead Bay,3
Year3,Floyd Bennett Field-East New York,4
Year3,Ozone Park-St. Albans,3
Year1,Port Morris-West Brighton,1
Year0,Rego Park-St. Albans,14
Year3,Green-Wood Cemetery-Dyker Heights,8
Year2,Van Nest-Longwood,12
Year3,Ozone Park-Brooklyn Heights,2
Year1,Prospect Heights-Unionport,6
Year2,Fort Greene-Soundview,12
Year1,Williamsbridge-Co-op City,9
Year2,Briarwood-Sheepshead Bay,6
Year2,Tribeca-Hollis Hills,18
Year2,Rego Park-Inwood,8
Year0,Fordham-Brownsville,1
Year1,Fieldston-Concourse Village,3
Year1,Green-Wood Cemetery-Prospect-Lefferts Gardens,7
Year2,Soundview-Inwood,10
Year0,Sunnyside-Norwood,38
Year1,Richmond Hill-Arverne,3
Year1,Fort Greene-Broad Channel,1
Year1,Greenwich Village-Port Richmond,8
Year1,Sheepshead Bay-Queens Village,2
Year3,Maspeth-Boerum Hill,15
Year1,Bushwick-Melrose,11
Year2,Co-op City-Mott Haven,7
Year2,Mill Basin-Prospect-Lefferts Gardens,4
Year3,Brownsville-Howard Beach,6
Year1,Fresh Meadows-Flatlands,2
Year3,Kew Gardens Hills-Cypress Hills,8
Year2,Rosedale-Country Club,1
Year1,South Ozone Park-Laurelton,7
Year3,Canarsie-Murray Hill,3
Year2,Pelham Gardens-Hunts Point,2
Year0,Flatlands-Sunset Park,26
Year0,Two Bridges-Clason Point,4
Year0,Columbia St-Sea Gate,2
Year2,East Morrisania-Schuylerville,6
Year1,Bay Ridge-Navy Yard,2
Year3,Shore Acres-Arden Heights,1
Year0,Sheepshead Bay-Tribeca,17
Year0,Tribeca-Edgemere,1
Year1,Claremont Village-East Village,5
Year2,Sheepshead Bay-Rego Park,7
Year3,Bronxdale-Williamsbridge,8
Year3,Westchester Square-Belmont,6
Year3,Prospect Heights-Norwood,10
Year2,Bushwick-Silver Lake,1
Year1,Sunset Park-Grymes Hill,1
Year0,Washington Heights-Bellerose,4
Year1,Vinegar Hill-Ozone Park,3
Year2,NoHo-Manhattan Beach,12
Year2,Van Cortlandt Park-Hell's Kitchen,5
Year0,Cypress Hills-Morningside Heights,3
Year3,Clinton Hill-Co-op City,1
Year0,Woodlawn-Parkchester,4
Year2,Carroll Gardens-Fresh Meadows,9
Year0,Little Italy-South Beach,2
Year1,Briarwood-Park Slope,23
Year0,Longwood-Morris Park,7
Year0,Bay Ridge-Nolita,6
Year0,Norwood-Mount Eden,6
Year3,Bay Terrace-Flushing,12
Year3,Concourse Village-Flatiron District,3
Year2,Throgs Neck-Country Club,7
Year3,Gramercy-Shore Acres,8
Year1,Tremont-Kingsbridge,6
Year2,Claremont Village-University Heights,20
Year0,Woodside-Brownsville,11
Year3,Fort Hamilton-Shore Acres,7
Year1,Tremont-Midtown,14
Year3,Clinton Hill-Marine Park,8
Year0,Borough Park-Boerum Hill,11
Year0,Chinatown-Howard Beach,34
Year0,Schuylerville-Country Club,13
Year2,South Slope-Port Morris,3
Year2,Longwood-Eastchester,5
Year1,Corona-Whitestone,11
Year0,West Village-Clifton,11
Year0,Bronx Park-Longwood,5
Year3,Prospect-Lefferts Gardens-Little Italy,11
Year1,Sheepshead Bay-Throgs Neck,1
Year0,"Great Kills-Bay Terrace, Staten Island",1
Year0,East New York-East Elmhurst,9
Year1,Kew Gardens Hills-East Elmhurst,28
Year3,Brooklyn Heights-Jamaica Hills,1
Year0,East Flatbush-Boerum Hill,14
Year3,Jamaica Estates-Kew Gardens,6
Year3,Elmhurst-Castle Hill,1
Year0,Bellerose-Whitestone,1
Year1,Battery Park City-Gerritsen Beach,6
Year2,Eastchester-Longwood,3
Year0,Civic Center-Graniteville,5
Year3,Prospect Heights-Rosedale,4
Year3,Middle Village-Nolita,2
Year1,Holliswood-John F. Kennedy International Airport,1
Year3,Kew Gardens Hills-East Morrisania,4
Year3,Hollis-Jamaica Hills,3
Year2,Kips Bay-Rikers Island,2
Year3,Throgs Neck-Cypress Hills,1
Year3,Maspeth-Bayswater,1
Year1,Woodlawn-Forest Hills,3
Year1,Whitestone-Co-op City,1
Year2,Red Hook-Howard Beach,2
Year3,Cobble Hill-Kingsbridge,2
Year0,Ditmars Steinway-Cambria Heights,5
Year2,Middle Village-Bayside,5
Year1,Williamsburg-South Beach,4
Year3,Flushing Meadows Corona Park-Middle Village,10
Year0,Broad Channel-Crown Heights,1
Year2,Unionport-Belmont,12
Year2,Boerum Hill-Springfield Gardens,4
Year1,Columbia St-Ozone Park,2
Year0,Norwood-Clinton Hill,2
Year2,Throgs Neck-Bronx Park,1
Year2,Astoria-Manhattan Beach,4
Year3,Wakefield-Baychester,2
Year1,Borough Park-Vinegar Hill,2
Year1,Richmond Hill-Fordham,5
Year0,Bloomfield-Upper East Side,1
Year1,Brighton Beach-Sunset Park,9
Year2,East Morrisania-Edenwald,3
Year1,Flatlands-Longwood,2
Year3,College Point-Battery Park City,2
Year3,Cypress Hills-Fort Hamilton,1
Year2,Bensonhurst-Clinton Hill,1
Year0,Freshkills Park-Boerum Hill,1
Year0,Bergen Beach-East Elmhurst,1
Year0,South Ozone Park-Spuyten Duyvil,3
Year3,Castleton Corners-Upper West Side,2
Year3,Richmond Hill-Morris Heights,1
Year1,Flatbush-Breezy Point,3
Year2,Bay Terrace-Harlem,1
Year3,East Elmhurst-Eastchester,8
Year1,Astoria-Mariners Harbor,5
Year1,Prospect Park-Concourse,3
Year1,Bushwick-Parkchester,5
Year3,Far Rockaway-Rockaway Beach,3
Year1,Downtown Brooklyn-Floral Park,6
Year3,Bronx Park-Highbridge,1
Year0,Hollis Hills-Fresh Meadows,3
Year2,Bensonhurst-Fordham,1
Year2,Bath Beach-Bushwick,1
Year3,Jackson Heights-Marble Hill,3
Year1,Morningside Heights-Floral Park,2
Year2,Brighton Beach-Upper West Side,4
Year3,Flushing-Eastchester,1
Year1,Highbridge-Battery Park City,3
Year0,Mount Eden-Westchester Square,2
Year3,Morris Park-Hell's Kitchen,1
Year2,Holliswood-Williamsburg,2
Year3,Civic Center-Crotona Park,1
Year3,Stuyvesant Town-Pelham Gardens,8
Year3,Chinatown-City Island,2
Year0,Forest Park-South Ozone Park,3
Year2,Two Bridges-Broad Channel,1
Year3,Canarsie-Maspeth,2
Year2,Tribeca-Arverne,1
Year2,Soundview-Crotona Park,1
Year1,Bay Ridge-Bayside,1
Year2,Midland Beach-Forest Hills,1
Year0,DUMBO-Arden Heights,1
Year1,Brownsville-Cambria Heights,2
Year2,Maspeth-Douglaston,1
Year2,Vinegar Hill-South Ozone Park,2
Year1,Roosevelt Island-Port Morris,8
Year3,Clinton Hill-Concord,1
Year2,Gramercy-Huguenot,2
Year0,Clifton-Park Hill,1
Year3,Bronx Park-Marble Hill,1
Year3,South Ozone Park-Norwood,3
Year0,Green-Wood Cemetery-Upper East Side,3
Year0,Little Italy-Queens Village,5
Year3,Eastchester-East Harlem,1
Year0,Westchester Square-Astoria,3
Year1,Hollis Hills-Kips Bay,1
Year3,Claremont Village-Financial District,3
Year0,Central Park-Willowbrook,1
Year1,Bath Beach-Fort Greene,1
Year1,Baychester-John F. Kennedy International Airport,2
Year2,SoHo-Pelham Bay Park,3
Year2,Glendale-Floral Park,1
Year0,Midwood-Bronxdale,1
Year0,Maspeth-Rockaway Beach,2
Year0,Concourse Village-Woodside,4
Year1,Brownsville-Coney Island,3
Year3,Williamsbridge-East Flatbush,1
Year2,Forest Hills-Unionport,2
Year3,Gravesend-Bushwick,5
Year1,Woodlawn-Concourse Village,1
Year2,Howard Beach-Greenpoint,1
Year1,Belmont-Castle Hill,3
Year0,"Gowanus-Bay Terrace, Staten Island",1
Year3,College Point-Tribeca,2
Year1,Pelham Bay-College Point,1
Year2,Astoria-Bull's Head,2
Year3,Brighton Beach-Murray Hill,3
Year3,Sunnyside-Sea Gate,1
Year0,Allerton-Morris Heights,2
Year2,East Elmhurst-Van Cortlandt Park,1
Year1,Corona-Inwood,3
Year0,Fort Hamilton-Bayside,2
Year3,Brownsville-Whitestone,1
Year2,Stuyvesant Town-Gerritsen Beach,2
Year0,Flushing Meadows Corona Park-Bull's Head,1
Year3,Howard Beach-Two Bridges,1
Year3,Kew Gardens Hills-Greenpoint,4
Year2,Mount Hope-Laurelton,1
Year0,Clinton Hill-Park Hill,1
Year2,Concord-Upper East Side,2
Year1,Bath Beach-Little Italy,1
Year3,Far Rockaway-Washington Heights,3
Year1,Longwood-West Village,4
Year3,Downtown Brooklyn-Douglaston,2
Year1,Fieldston-Murray Hill,2
Year1,Ditmars Steinway-Olinville,1
Year1,Richmond Hill-Throgs Neck,1
Year0,College Point-Pelham Gardens,1
Year2,Eastchester-Whitestone,1
Year1,Marble Hill-Bedford-Stuyvesant,2
Year2,Rego Park-New Dorp,1
Year2,Richmond Hill-Belmont,1
Year0,Fort Wadsworth-East Elmhurst,1
Year2,Greenwich Village-Alley Pond Park,1
Year0,Latourette Park-Gramercy,1
Year1,Fresh Meadows-Fordham,1
Year1,Brownsville-Kingsbridge,1
Year1,Schuylerville-Mount Eden,1
Year0,Edenwald-Harlem,1
Year0,Ozone Park-West Farms,1
Year2,Ferry Point Park-Stuyvesant Town,1
Year2,Hollis-Jackson Heights,1
Year1,St. Albans-Randall's Island,1
Year1,North Riverdale-Morris Heights,1
Year2,NoHo-Pelham Bay Park,1
Year3,Kingsbridge-Clinton Hill,1
Year2,Kew Gardens Hills-Brooklyn Heights,1
Year3,Canarsie-Park Hill,1
Year2,Highbridge-Alley Pond Park,1
Year3,Jamaica-Co-op City,3
Year0,Stuyvesant Town-Baychester,1
Year3,Flushing Meadows Corona Park-Fort Hamilton,1
Year2,Floyd Bennett Field-Bensonhurst,1
Year0,Queens Village-Flatiron District,1
Year3,Jamaica-Todt Hill,1
Year2,Elmhurst-Broad Channel,1
Year0,Rosedale-Long Island City,1
Year2,Dyker Heights-DUMBO,1
Year1,Woodhaven-Bronxdale,1
Year1,Fresh Meadows-Downtown Brooklyn,1
FY,trip_string,total_trips
Year1,Tribeca-Upper West Side,94815
Year1,Williamsburg-West Village,26675
Year1,West Village-NoHo,84576
Year1,Williamsburg-Nolita,11861
Year1,Upper East Side-Nolita,31329
Year1,West Village-East Harlem,28122
Year1,Chinatown-Morningside Heights,2054
Year1,Woodside-Sunnyside,10449
Year1,Corona-Corona,1224
Year1,Carroll Gardens-Fort Greene,4547
Year1,East Village-Brownsville,741
Year0,Theater District-Flatiron District,88815
Year0,Flatiron District-East Village,141182
Year0,East Village-Murray Hill,236967
Year0,Gramercy-Hell's Kitchen,122449
Year1,Downtown Brooklyn-Bushwick,3108
Year0,Flatiron District-Williamsburg,21215
Year0,John F. Kennedy International Airport-Laurelton,3958
Year0,Murray Hill-Astoria,17860
Year1,Crown Heights-East Flatbush,2224
Year1,Downtown Brooklyn-Midwood,344
Year0,Chelsea-Prospect Heights,11119
Year0,Greenwich Village-Flatbush,4126
Year0,Upper West Side-Boerum Hill,4178
Year0,John F. Kennedy International Airport-Battery Park City,20737
Year2,Midtown-Greenwich Village,478301
Year0,Park Slope-Lower East Side,5078
Year2,Hell's Kitchen-Battery Park City,89209
Year2,Elmhurst-Long Island City,1644
Year2,Kips Bay-East Elmhurst,2165
Year2,Financial District-Central Park,12687
Year2,West Village-Bushwick,15976
Year2,East Village-Morningside Heights,12551
Year2,Chelsea-LaGuardia Airport,98948
Year1,Harlem-Tribeca,3720
Year1,Gramercy-Borough Park,865
Year3,West Village-Flatiron District,123301
Year3,Hell's Kitchen-Flatiron District,89924
Year3,Financial District-Theater District,79713
Year3,Battery Park City-LaGuardia Airport,26252
Year3,Williamsburg-Downtown Brooklyn,5983
Year3,NoHo-Theater District,19702
Year3,Williamsburg-Sunnyside,4098
Year3,Civic Center-Williamsburg,4370
Year3,Downtown Brooklyn-Fort Greene,10113
Year3,Greenpoint-Murray Hill,624
Year3,Kips Bay-Long Island City,16849
Year3,Theater District-Mott Haven,2574
Year3,John F. Kennedy International Airport-Manhattan Beach,886
Year1,Downtown Brooklyn-Cobble Hill,2296
Year2,Sunnyside-Maspeth,5968
Year1,Clinton Hill-South Slope,881
Year1,Cobble Hill-Greenpoint,1520
Year2,Boerum Hill-Borough Park,360
Year2,Theater District-Ditmars Steinway,12537
Year1,Stuyvesant Town-Bushwick,945
Year2,Nolita-Kensington,508
Year1,NoHo-Two Bridges,1287
Year1,Fort Greene-Ridgewood,559
Year1,Jackson Heights-Inwood,57
Year0,Cobble Hill-Clinton Hill,2393
Year3,Gramercy-South Slope,2257
Year3,Carroll Gardens-Ridgewood,235
Year3,Downtown Brooklyn-Morningside Heights,191
Year2,Financial District-Huguenot,45
Year1,Prospect Park-Boerum Hill,257
Year1,Lower East Side-Concourse Village,496
Year0,Nolita-Bedford-Stuyvesant,5939
Year0,Sunnyside-Concourse Village,148
Year0,Cambria Heights-Crown Heights,39
Year3,South Slope-Fort Greene,628
Year3,Fort Greene-Lower East Side,3167
Year3,South Ozone Park-Kew Gardens,25
Year3,Harlem-SoHo,1996
Year3,Park Slope-Hell's Kitchen,1022
Year1,Murray Hill-Concourse,647
Year3,Chelsea-Corona,1946
Year3,John F. Kennedy International Airport-Randall Manor,206
Year2,John F. Kennedy International Airport-Coney Island,869
Year2,SoHo-Two Bridges,2744
Year0,Theater District-Concourse Village,1652
Year2,John F. Kennedy International Airport-Concourse,1308
Year0,Hell's Kitchen-Wakefield,724
Year2,Kew Gardens Hills-Ridgewood,9
Year2,Williamsburg-Elmhurst,2298
Year3,Woodside-Woodhaven,120
Year3,Downtown Brooklyn-Cypress Hills,154
Year3,Murray Hill-Gowanus,1781
Year1,Midtown-Arden Heights,126
Year2,Longwood-East Harlem,392
Year3,Cobble Hill-Theater District,1001
Year3,Gramercy-Richmond Hill,394
Year2,Flushing Meadows Corona Park-Flushing Meadows Corona Park,2073
Year2,Harlem-Soundview,684
Year2,Astoria-Kew Gardens Hills,306
Year3,Upper West Side-Flatlands,252
Year0,Flushing-Theater District,287
Year2,Theater District-Bay Ridge,2556
Year2,Bushwick-Elmhurst,252
Year3,Briarwood-Jamaica,358
Year3,Prospect Park-Clinton Hill,215
Year2,Kensington-Downtown Brooklyn,138
Year2,South Ozone Park-Crown Heights,89
Year0,Springfield Gardens-Upper East Side,202
Year0,Ditmars Steinway-Whitestone,126
Year0,Elmhurst-Theater District,636
Year0,Prospect Heights-Upper West Side,1705
Year1,Woodhaven-Elmhurst,254
Year0,Bushwick-Kips Bay,234
Year0,Forest Hills-Long Island City,724
Year0,Little Italy-Bedford-Stuyvesant,1490
Year0,Stuyvesant Town-Long Island City,2991
Year1,Civic Center-Prospect Heights,731
Year0,Murray Hill-Longwood,673
Year3,Fort Greene-Corona,195
Year3,Kips Bay-Van Nest,90
Year0,Columbia St-Chinatown,72
Year1,Kips Bay-Throgs Neck,205
Year2,Bedford-Stuyvesant-Vinegar Hill,409
Year2,Downtown Brooklyn-Central Park,554
Year0,LaGuardia Airport-Bensonhurst,1251
Year3,Claremont Village-Mount Hope,51
Year3,Carroll Gardens-Kips Bay,744
Year3,Green-Wood Cemetery-Windsor Terrace,6
Year0,East Harlem-Columbia St,135
Year2,LaGuardia Airport-North Riverdale,1319
Year3,Cobble Hill-Bushwick,548
Year1,Financial District-Morris Park,247
Year3,Central Park-Maspeth,432
Year0,Downtown Brooklyn-South Ozone Park,96
Year2,Longwood-Upper West Side,71
Year2,Williamsburg-Mott Haven,175
Year2,Civic Center-Inwood,234
Year1,Kingsbridge-Upper West Side,126
Year1,Jackson Heights-Financial District,188
Year0,Clinton Hill-Vinegar Hill,258
Year1,Park Slope-Rego Park,94
Year2,Hell's Kitchen-Queens Village,294
Year0,Navy Yard-John F. Kennedy International Airport,16
Year3,Carroll Gardens-Midwood,208
Year2,Elmhurst-Washington Heights,188
Year3,Prospect Park-Financial District,75
Year1,Gravesend-Fort Greene,3
Year1,Bushwick-Roosevelt Island,35
Year0,Lower East Side-Silver Lake,8
Year1,Longwood-Port Morris,34
Year2,East New York-Flatbush,89
Year2,Navy Yard-Astoria,14
Year2,Flushing-Bushwick,35
Year2,Briarwood-Chelsea,222
Year2,Gramercy-Woodlawn,221
Year1,Jamaica-Rosedale,36
Year2,Boerum Hill-Navy Yard,196
Year0,West Village-Clason Point,88
Year2,Gramercy-Douglaston,37
Year3,Hell's Kitchen-Laurelton,67
Year2,Kensington-Upper West Side,126
Year0,Vinegar Hill-Upper West Side,80
Year0,Sunset Park-Forest Hills,31
Year1,Central Park-Brighton Beach,84
Year1,Kensington-Greenpoint,85
Year1,Sunset Park-Dyker Heights,168
Year0,SoHo-Morris Park,113
Year3,Mott Haven-Baychester,23
Year3,Parkchester-Allerton,40
Year1,Battery Park City-Belmont,29
Year0,Battery Park City-Pelham Bay,8
Year2,NoHo-Kew Gardens Hills,71
Year2,Woodhaven-Elmhurst,394
Year0,Vinegar Hill-Tribeca,85
Year3,Greenpoint-Nolita,429
Year2,Harlem-Sunset Park,217
Year2,Vinegar Hill-Cobble Hill,47
Year2,Coney Island-Gravesend,21
Year2,Tribeca-Castle Hill,26
Year3,East Elmhurst-Greenwich Village,240
Year0,Richmond Hill-SoHo,67
Year2,Maspeth-Stuyvesant Town,22
Year2,Greenwich Village-Bronxdale,163
